,roi,side,eccen,subject,preferred_period,sigma
421,2,0,4.5,8,0.2567389080972905,2.223694632297907
422,2,0,5.5,8,0.8392294259984227,1.6415133780724294
423,2,0,6.5,8,0.7315412126668246,1.4167297460477462
424,2,0,7.5,8,0.0975142783843312,1.2921254068820014
425,2,0,8.5,8,2.6005248513313,1.3261367673796367
426,2,0,9.5,8,2.4495504487196373,1.5873178747868295
427,2,0,10.5,8,2.407177598227483,1.82894385792315
428,2,0,11.5,8,2.2225836012698195,2.194131460544225
429,2,1,1.5,8,0.4083958504406166,1.878945672744496
430,2,1,2.5,8,0.2608805648242543,2.036956954240007
431,2,1,3.5,8,0.4638860751577805,2.7273695620725737
432,2,1,4.5,8,0.3356979902410933,3.097458995257815
433,2,1,5.5,8,0.1390197038544566,3.698902341880296
434,2,1,6.5,8,0.212394594562996,3.4485912027437826
435,2,1,7.5,8,0.6574749385335895,3.1080876039019945
436,2,1,8.5,8,0.6386555740336608,1.745990414078496
437,2,1,9.5,8,0.00048828125,1.439480050964263
438,2,1,10.5,8,0.0009652516564832,1.773875727996988
439,2,1,11.5,8,1.19015005666184,2.356281938403845
440,2,0,1.5,9,31.999999999998188,1.6411115007673798
441,2,0,2.5,9,31.99999999999964,2.030442784134851
442,2,0,3.5,9,1.223643010159381,1.976511091050112
443,2,0,4.5,9,1.7786671500085125,2.365901411060364
444,2,0,5.5,9,1.7227810765752272,2.6243812341142343
445,2,0,6.5,9,2.270108657439454,2.937426477147822
446,2,0,7.5,9,2.7881472180434392,3.34387252932397
447,2,0,8.5,9,3.0316204916256737,3.871619027148011
448,2,0,9.5,9,3.0755626105063403,4.1792548108100895
449,2,0,10.5,9,2.3005560203598936,2.705644208788872
450,2,0,11.5,9,31.999999383648667,2.1332216310418315
451,2,1,1.5,9,1.136374646389304,1.5787210200320592
452,2,1,2.5,9,1.1285921657972402,2.028467251629126
453,2,1,3.5,9,0.8733572942221116,2.0603369392320783
454,2,1,4.5,9,0.8746167297675366,2.2326624580283663
455,2,1,5.5,9,1.0566611129356362,2.525945673386256
456,2,1,6.5,9,1.372582952662288,2.8660323229156623
457,2,1,7.5,9,1.772589311348105,3.1101747281276264
458,2,1,8.5,9,1.9027040248899807,3.3290473799996017
459,2,1,9.5,9,1.5403224298552771,3.3148129713204173
460,2,1,10.5,9,1.8821328094241765,3.140931967076133
461,2,1,11.5,9,1.8065633433125556,3.179511045489241
462,2,0,1.5,10,0.539806329895806,0.4840292569285347
463,2,0,2.5,10,0.8817378433978361,0.5478541215199121
464,2,0,3.5,10,1.0463465228563371,0.537290633097291
465,2,0,4.5,10,0.850908671132206,1.0027503849103534
466,2,0,5.5,10,1.2288530890580516,1.220574649712427
467,2,0,6.5,10,1.495938125198069,1.4457772792070762
468,2,0,7.5,10,1.3766466007082825,1.946905203163624
469,2,0,8.5,10,1.6155501735673707,2.5758552460126505
470,2,0,9.5,10,2.016895265827097,3.1841712839463177
